t-ab	t̪ˠ a bˠ
d'inlíodh	dʲ i nʲ lʲ iː uː
n-inlíomar	nʲ i nʲ lʲ iː mˠ ə ɾˠ
d'inlíomar	dʲ i nʲ lʲ iː mˠ ə ɾˠ
t-inlíon	tʲ i nʲ lʲ iː n̻ˠ
b'inlíon	bʲ i nʲ lʲ iː n̻ˠ
n-inlíon	nʲ i nʲ lʲ iː n̻ˠ
d'inlíon	dʲ i nʲ lʲ iː n̻ˠ
m'inlíon	mʲ i nʲ lʲ iː n̻ˠ
n-inlíonn	nʲ i nʲ lʲ iː n̻ˠ
b'inlíonta	bʲ i nʲ lʲ iː n̻ˠ t̪ˠ ə
n-inlíonta	nʲ i nʲ lʲ iː n̻ˠ t̪ˠ ə
d'inlíonta	dʲ i nʲ lʲ iː n̻ˠ t̪ˠ ə
m'inlíonta	mʲ i nʲ lʲ iː n̻ˠ t̪ˠ ə
n-inlíteá	nʲ i nʲ lʲ iː tʲ aː
d'inlíteá	dʲ i nʲ lʲ iː tʲ aː
n-inlítear	nʲ i nʲ lʲ iː tʲ ə ɾˠ
n-inlítí	nʲ i nʲ lʲ iː tʲ iː
d'inlítí	dʲ i nʲ lʲ iː tʲ iː
b'inmhaite	bʲ i nʲ ə vʲ ə tʲ ə
n-inmhaite	nʲ i nʲ ə vʲ ə tʲ ə
b'inmhaíte	bʲ ˌ  i n̻ˠ ˈ vˠ iː  tʲ ə
n-inmhaíte	nʲ ˌ  i n̻ˠ ˈ vˠ iː  tʲ ə
b'inmhalartachta	bʲ i nʲ ə vʲ ə l̻ˠ ə ɾˠ t̪ˠ ə ɾˠ t̪ˠ ə
n-inmhalartachta	nʲ i nʲ ə vʲ ə l̻ˠ ə ɾˠ t̪ˠ ə ɾˠ t̪ˠ ə
d'inmhalartachta	dʲ i nʲ ə vʲ ə l̻ˠ ə ɾˠ t̪ˠ ə ɾˠ t̪ˠ ə
m'inmhalartachta	mʲ i nʲ ə vʲ ə l̻ˠ ə ɾˠ t̪ˠ ə ɾˠ t̪ˠ ə
b'inmharthanachta	bʲ i nʲ ə vʲ ə ɾ̥ˠ ə n̻ˠ ə ɾˠ t̪ˠ ə
n-inmharthanachta	nʲ i nʲ ə vʲ ə ɾ̥ˠ ə n̻ˠ ə ɾˠ t̪ˠ ə
d'inmharthanachta	dʲ i nʲ ə vʲ ə ɾ̥ˠ ə n̻ˠ ə ɾˠ t̪ˠ ə
m'inmharthanachta	mʲ i nʲ ə vʲ ə ɾ̥ˠ ə n̻ˠ ə ɾˠ t̪ˠ ə
b'inmhe	ˈ bʲ i nʲ  ə  vʲ ə
n-inmhe	ˈ nʲ i nʲ  ə  vʲ ə
d'inmhe	ˈ dʲ i nʲ  ə  vʲ ə
m'inmhe	ˈ mʲ i nʲ  ə  vʲ ə
b'inmheánacha	bʲ i nʲ ə vʲ aː n̻ˠ a h ə
n-inmheánacha	nʲ i nʲ ə vʲ aː n̻ˠ a h ə
b'inmheánaí	bʲ i nʲ ə vʲ aː n̻ˠ iː
n-inmheánaí	nʲ i nʲ ə vʲ aː n̻ˠ iː
b'inmheánaigh	bʲ i nʲ ə vʲ aː n̻ˠ iː
n-inmheánaigh	nʲ i nʲ ə vʲ aː n̻ˠ iː
b'inmheasta	bʲ i nʲ ə vʲ ə sˠ t̪ˠ ə
n-inmheasta	nʲ i nʲ ə vʲ ə sˠ t̪ˠ ə
b'inmhianaithe	bʲ i nʲ ə vʲ ia n̻ˠ iː
n-inmhianaithe	nʲ i nʲ ə vʲ ia n̻ˠ iː
b'inmhianaitheacht	bʲ i nʲ ə vʲ ia n̻ˠ ai ç a ɾˠ t̪ˠ
n-inmhianaitheacht	nʲ i nʲ ə vʲ ia n̻ˠ ai ç a ɾˠ t̪ˠ
d'inmhianaitheacht	dʲ i nʲ ə vʲ ia n̻ˠ ai ç a ɾˠ t̪ˠ
m'inmhianaitheacht	mʲ i nʲ ə vʲ ia n̻ˠ ai ç a ɾˠ t̪ˠ
b'inmhianaitheachta	bʲ i nʲ ə vʲ ia n̻ˠ ai ç ə ɾˠ t̪ˠ ə
n-inmhianaitheachta	nʲ i nʲ ə vʲ ia n̻ˠ ai ç ə ɾˠ t̪ˠ ə
d'inmhianaitheachta	dʲ i nʲ ə vʲ ia n̻ˠ ai ç ə ɾˠ t̪ˠ ə
m'inmhianaitheachta	mʲ i nʲ ə vʲ ia n̻ˠ ai ç ə ɾˠ t̪ˠ ə
t-inneach	ˈ tʲ i n̻ʲ  a h
b'inneach	ˈ bʲ i n̻ʲ  a h
n-inneach	ˈ nʲ i n̻ʲ  a h
d'inneach	ˈ dʲ i n̻ʲ  a h
m'inneach	ˈ mʲ i n̻ʲ  a h
n-innéacsaí	nʲ i n̻ʲ eː k sˠ iː
n-innéacsaídís	nʲ i n̻ʲ eː k sˠ iː dʲ iː ʃ
d'innéacsaídís	dʲ i n̻ʲ eː k sˠ iː dʲ iː ʃ
n-innéacsaígí	nʲ i n̻ʲ eː k sˠ iː ɟ iː
n-innéacsaím	nʲ i n̻ʲ eː k sˠ iː mʲ
n-innéacsaímid	nʲ i n̻ʲ eː k sˠ iː mʲ i dʲ
n-innéacsaímis	nʲ i n̻ʲ eː k sˠ iː mʲ i ʃ
d'innéacsaímis	dʲ i n̻ʲ eː k sˠ iː mʲ i ʃ
n-innéacsaínn	nʲ i n̻ʲ eː k sˠ iː n̻ʲ
d'innéacsaínn	dʲ i n̻ʲ eː k sˠ iː n̻ʲ
n-innéacsaíodar	nʲ i n̻ʲ eː k sˠ ia d̪ˠ ə ɾˠ
d'innéacsaíodar	dʲ i n̻ʲ eː k sˠ ia d̪ˠ ə ɾˠ
n-innéacsaíodh	nʲ i n̻ʲ eː k sˠ iː uː
d'innéacsaíodh	dʲ i n̻ʲ eː k sˠ iː uː
n-innéacsaíomar	nʲ i n̻ʲ eː k sˠ ia mˠ ə ɾˠ
d'innéacsaíomar	dʲ i n̻ʲ eː k sˠ ia mˠ ə ɾˠ
n-innéacsaíonn	nʲ i n̻ʲ eː k sˠ ia n̻ˠ
n-innéacsaíteá	nʲ i n̻ʲ eː k sˠ iː tʲ aː
d'innéacsaíteá	dʲ i n̻ʲ eː k sˠ iː tʲ aː
n-innéacsaítear	nʲ i n̻ʲ eː k sˠ iː tʲ ə ɾˠ
b'innéacsaithe	bʲ i n̻ʲ eː k sˠ iː
n-innéacsaithe	nʲ i n̻ʲ eː k sˠ iː
d'innéacsaithe	dʲ i n̻ʲ eː k sˠ iː
m'innéacsaithe	mʲ i n̻ʲ eː k sˠ iː
n-innéacsaítí	nʲ i n̻ʲ eː k sˠ iː tʲ iː
d'innéacsaítí	dʲ i n̻ʲ eː k sˠ iː tʲ iː
b'innéacsanna	bʲ i n̻ʲ eː k sˠ ə n̻ˠ ə
n-innéacsanna	nʲ i n̻ʲ eː k sˠ ə n̻ˠ ə
d'innéacsanna	dʲ i n̻ʲ eː k sˠ ə n̻ˠ ə
m'innéacsanna	mʲ i n̻ʲ eː k sˠ ə n̻ˠ ə
n-innéacsódh	nʲ i n̻ʲ eː k sˠ o x ə tʲ
d'innéacsódh	dʲ i n̻ʲ eː k sˠ o x ə tʲ
n-innéacsófá	nʲ i n̻ʲ eː k sˠ oː h aː
d'innéacsófá	dʲ i n̻ʲ eː k sˠ oː h aː
n-innéacsófaí	nʲ i n̻ʲ eː k sˠ oː fˠ iː
d'innéacsófaí	dʲ i n̻ʲ eː k sˠ oː fˠ iː
n-innéacsófar	nʲ i n̻ʲ eː k sˠ oː fˠ ə ɾˠ
n-innéacsóidh	nʲ i n̻ʲ eː k sˠ o j
n-innéacsóidís	nʲ i n̻ʲ eː k sˠ oː dʲ iː ʃ
d'innéacsóidís	dʲ i n̻ʲ eː k sˠ oː dʲ iː ʃ
n-innéacsóimid	nʲ i n̻ʲ eː k sˠ oː mʲ i dʲ
n-innéacsóimis	nʲ i n̻ʲ eː k sˠ oː mʲ i ʃ
d'innéacsóimis	dʲ i n̻ʲ eː k sˠ oː mʲ i ʃ
n-innéacsóinn	nʲ i n̻ʲ eː k sˠ o n̻ʲ
d'innéacsóinn	dʲ i n̻ʲ eː k sˠ o n̻ʲ
t-innéacsú	tʲ i n̻ʲ eː k sˠ uː
b'innéacsú	bʲ i n̻ʲ eː k sˠ uː
n-innéacsú	nʲ i n̻ʲ eː k sˠ uː
d'innéacsú	dʲ i n̻ʲ eː k sˠ uː
m'innéacsú	mʲ i n̻ʲ eː k sˠ uː
b'inneallach	bʲ i n̻ʲ ə l̻ˠ a h
n-inneallach	nʲ i n̻ʲ ə l̻ˠ a h
b'inneallacha	bʲ i n̻ʲ ə l̻ˠ a h ə
n-inneallacha	nʲ i n̻ʲ ə l̻ˠ a h ə
b'inneallaí	bʲ i n̻ʲ ə l̻ˠ iː
n-inneallaí	nʲ i n̻ʲ ə l̻ˠ iː
b'inneallaigh	bʲ i n̻ʲ ə l̻ˠ iː
n-inneallaigh	nʲ i n̻ʲ ə l̻ˠ iː
b'innealraí	bʲ i n̻ʲ ə l̻ˠ ɾˠ iː
n-innealraí	nʲ i n̻ʲ ə l̻ˠ ɾˠ iː
d'innealraí	dʲ i n̻ʲ ə l̻ˠ ɾˠ iː
m'innealraí	mʲ i n̻ʲ ə l̻ˠ ɾˠ iː
b'innealtóireachta	bʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ ə ɾˠ t̪ˠ ə
n-innealtóireachta	nʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ ə ɾˠ t̪ˠ ə
d'innealtóireachta	dʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ ə ɾˠ t̪ˠ ə
m'innealtóireachta	mʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾʲ ə ɾˠ t̪ˠ ə
b'innealtóra	bʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾˠ ə
n-innealtóra	nʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾˠ ə
d'innealtóra	dʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾˠ ə
m'innealtóra	mʲ i n̻ʲ ə l̻ˠ t̪ˠ oː ɾˠ ə
b'inneoin	bʲ ˌ  i n̻ʲ ˈ oː nʲ
n-inneoin	nʲ ˌ  i n̻ʲ ˈ oː nʲ
d'inneoin	dʲ ˌ  i n̻ʲ ˈ oː nʲ
m'inneoin	mʲ ˌ  i n̻ʲ ˈ oː nʲ
b'inneonacha	bʲ i n̻ʲ oː n̻ˠ a h ə
n-inneonacha	nʲ i n̻ʲ oː n̻ˠ a h ə
d'inneonacha	dʲ i n̻ʲ oː n̻ˠ a h ə
m'inneonacha	mʲ i n̻ʲ oː n̻ˠ a h ə
b'innigh	bʲ i n̻ʲ iː
n-innigh	nʲ i n̻ʲ iː
d'innigh	dʲ i n̻ʲ iː
m'innigh	mʲ i n̻ʲ iː
b'innilte	bʲ i n̻ʲ i lʲ tʲ ə
n-innilte	nʲ i n̻ʲ i lʲ tʲ ə
d'innilte	dʲ i n̻ʲ i lʲ tʲ ə
m'innilte	mʲ i n̻ʲ i lʲ tʲ ə
b'inniúla	bʲ i n̻ʲ uː l̻ˠ ə
n-inniúla	nʲ i n̻ʲ uː l̻ˠ ə
b'inniúlachta	bʲ i n̻ʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
n-inniúlachta	nʲ i n̻ʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
d'inniúlachta	dʲ i n̻ʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
m'inniúlachta	mʲ i n̻ʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
b'inoibrithe	bʲ ˌ  i n̻ˠ ˈ o bʲ  ɾʲ i  hʲ ə
n-inoibrithe	nʲ ˌ  i n̻ˠ ˈ o bʲ  ɾʲ i  hʲ ə
n-inphléasc	nʲ i nʲ fʲ lʲ a sˠ k
d'inphléasc	dʲ i nʲ fʲ lʲ a sˠ k
n-inphléasca	nʲ i nʲ fʲ lʲ eː sˠ k ə
n-inphléascadar	nʲ i nʲ fʲ lʲ eː sˠ k ə d̪ˠ ə ɾˠ
d'inphléascadar	dʲ i nʲ fʲ lʲ eː sˠ k ə d̪ˠ ə ɾˠ
t-inphléascadh	tʲ i nʲ fʲ lʲ eː sˠ k uː
b'inphléascadh	bʲ i nʲ fʲ lʲ eː sˠ k uː
n-inphléascadh	nʲ i nʲ fʲ lʲ eː sˠ k uː
d'inphléascadh	dʲ i nʲ fʲ lʲ eː sˠ k uː
m'inphléascadh	mʲ i nʲ fʲ lʲ eː sˠ k uː
n-inphléascaidís	nʲ i nʲ fʲ lʲ eː sˠ k ə dʲ iː ʃ
d'inphléascaidís	dʲ i nʲ fʲ lʲ eː sˠ k ə dʲ iː ʃ
n-inphléascaigí	nʲ i nʲ fʲ lʲ eː sˠ k ə ɟ iː
n-inphléascaim	nʲ i nʲ fʲ lʲ eː sˠ k ə mʲ
n-inphléascaimid	nʲ i nʲ fʲ lʲ eː sˠ k ə mʲ i dʲ
n-inphléascaimis	nʲ i nʲ fʲ lʲ eː sˠ k ə mʲ i ʃ
d'inphléascaimis	dʲ i nʲ fʲ lʲ eː sˠ k ə mʲ i ʃ
n-inphléascainn	nʲ i nʲ fʲ lʲ eː sˠ k ə n̻ʲ
d'inphléascainn	dʲ i nʲ fʲ lʲ eː sˠ k ə n̻ʲ
n-inphléascamar	nʲ i nʲ fʲ lʲ eː sˠ k ə mˠ ə ɾˠ
d'inphléascamar	dʲ i nʲ fʲ lʲ eː sˠ k ə mˠ ə ɾˠ
n-inphléascann	nʲ i nʲ fʲ lʲ eː sˠ k ə n̻ˠ
n-inphléascfá	nʲ i nʲ fʲ lʲ eː sˠ k aː
d'inphléascfá	dʲ i nʲ fʲ lʲ eː sˠ k aː
n-inphléascfadh	nʲ i nʲ fʲ lʲ eː sˠ k uː
d'inphléascfadh	dʲ i nʲ fʲ lʲ eː sˠ k uː
n-inphléascfaí	nʲ i nʲ fʲ lʲ eː sˠ k fˠ iː
d'inphléascfaí	dʲ i nʲ fʲ lʲ eː sˠ k fˠ iː
n-inphléascfaidh	nʲ i nʲ fʲ lʲ eː sˠ k iː
n-inphléascfaidís	nʲ i nʲ fʲ lʲ eː sˠ k ə dʲ iː ʃ
d'inphléascfaidís	dʲ i nʲ fʲ lʲ eː sˠ k ə dʲ iː ʃ
n-inphléascfaimid	nʲ i nʲ fʲ lʲ eː sˠ k ə mʲ i dʲ
n-inphléascfaimis	nʲ i nʲ fʲ lʲ eː sˠ k ə mʲ i ʃ
d'inphléascfaimis	dʲ i nʲ fʲ lʲ eː sˠ k ə mʲ i ʃ
n-inphléascfainn	nʲ i nʲ fʲ lʲ eː sˠ k ə n̻ʲ
d'inphléascfainn	dʲ i nʲ fʲ lʲ eː sˠ k ə n̻ʲ
n-inphléascfar	nʲ i nʲ fʲ lʲ eː sˠ k fˠ ə ɾˠ
n-inphléasctá	nʲ i nʲ fʲ lʲ eː sˠ k t̪ˠ aː
d'inphléasctá	dʲ i nʲ fʲ lʲ eː sˠ k t̪ˠ aː
n-inphléasctaí	nʲ i nʲ fʲ lʲ eː sˠ k t̪ˠ iː
d'inphléasctaí	dʲ i nʲ fʲ lʲ eː sˠ k t̪ˠ iː
n-inphléasctar	nʲ i nʲ fʲ lʲ eː sˠ k t̪ˠ ə ɾˠ
b'inphléasctha	bʲ i nʲ fʲ lʲ eː sˠ k ə
n-inphléasctha	nʲ i nʲ fʲ lʲ eː sˠ k ə
d'inphléasctha	dʲ i nʲ fʲ lʲ eː sˠ k ə
m'inphléasctha	mʲ i nʲ fʲ lʲ eː sˠ k ə
b'inphósta	bʲ ˌ  i n̻ˠ ˈ fˠ oː sˠ  t̪ˠ ə
n-inphósta	nʲ ˌ  i n̻ˠ ˈ fˠ oː sˠ  t̪ˠ ə
t-inphrionta	tʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ ə
b'inphrionta	bʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ ə
n-inphrionta	nʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ ə
d'inphrionta	dʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ ə
m'inphrionta	mʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ ə
b'inphriontaí	bʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ iː
n-inphriontaí	nʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ iː
d'inphriontaí	dʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ iː
m'inphriontaí	mʲ i nʲ fʲ ɾʲ i n̻ˠ t̪ˠ iː
b'inráite	bʲ i nʲ ɾʲ aː tʲ ə
n-inráite	nʲ i nʲ ɾʲ aː tʲ ə
b'inréimneach	bʲ i nʲ ɾʲ eː mʲ nʲ a h
n-inréimneach	nʲ i nʲ ɾʲ eː mʲ nʲ a h
b'inréimneacha	bʲ i nʲ ɾʲ eː mʲ nʲ a h ə
n-inréimneacha	nʲ i nʲ ɾʲ eː mʲ nʲ a h ə
b'inréimneacht	bʲ i nʲ ɾʲ eː mʲ nʲ a ɾˠ t̪ˠ
n-inréimneacht	nʲ i nʲ ɾʲ eː mʲ nʲ a ɾˠ t̪ˠ
d'inréimneacht	dʲ i nʲ ɾʲ eː mʲ nʲ a ɾˠ t̪ˠ
m'inréimneacht	mʲ i nʲ ɾʲ eː mʲ nʲ a ɾˠ t̪ˠ
b'inréimneachta	bʲ i nʲ ɾʲ eː mʲ nʲ ə ɾˠ t̪ˠ ə
n-inréimneachta	nʲ i nʲ ɾʲ eː mʲ nʲ ə ɾˠ t̪ˠ ə
d'inréimneachta	dʲ i nʲ ɾʲ eː mʲ nʲ ə ɾˠ t̪ˠ ə
m'inréimneachta	mʲ i nʲ ɾʲ eː mʲ nʲ ə ɾˠ t̪ˠ ə
n-inréimneodh	nʲ i nʲ ɾʲ eː mʲ nʲ o
d'inréimneodh	dʲ i nʲ ɾʲ eː mʲ nʲ o
n-inréimneofá	nʲ i nʲ ɾʲ eː mʲ nʲ oː h aː
d'inréimneofá	dʲ i nʲ ɾʲ eː mʲ nʲ oː h aː
n-inréimneofaí	nʲ i nʲ ɾʲ eː mʲ nʲ oː fˠ iː
d'inréimneofaí	dʲ i nʲ ɾʲ eː mʲ nʲ oː fˠ iː
n-inréimneofar	nʲ i nʲ ɾʲ eː mʲ nʲ oː fˠ ə ɾˠ
n-inréimneoidh	nʲ i nʲ ɾʲ eː mʲ nʲ o j
n-inréimneoidís	nʲ i nʲ ɾʲ eː mʲ nʲ oː dʲ iː ʃ
d'inréimneoidís	dʲ i nʲ ɾʲ eː mʲ nʲ oː dʲ iː ʃ
n-inréimneoimid	nʲ i nʲ ɾʲ eː mʲ nʲ oː mʲ i dʲ
n-inréimneoimis	nʲ i nʲ ɾʲ eː mʲ nʲ oː mʲ i ʃ
d'inréimneoimis	dʲ i nʲ ɾʲ eː mʲ nʲ oː mʲ i ʃ
n-inréimneoinn	nʲ i nʲ ɾʲ eː mʲ nʲ o n̻ʲ
d'inréimneoinn	dʲ i nʲ ɾʲ eː mʲ nʲ o n̻ʲ
b'inréimní	bʲ i nʲ ɾʲ eː mʲ nʲ iː
n-inréimní	nʲ i nʲ ɾʲ eː mʲ nʲ iː
n-inréimnídís	nʲ i nʲ ɾʲ eː mʲ nʲ iː dʲ iː ʃ
d'inréimnídís	dʲ i nʲ ɾʲ eː mʲ nʲ iː dʲ iː ʃ
b'inréimnigh	bʲ i nʲ ɾʲ eː mʲ nʲ iː
n-inréimnigh	nʲ i nʲ ɾʲ eː mʲ nʲ iː
d'inréimnigh	dʲ i nʲ ɾʲ eː mʲ nʲ iː
n-inréimnígí	nʲ i nʲ ɾʲ eː mʲ nʲ iː ɟ iː
n-inréimním	nʲ i nʲ ɾʲ eː mʲ nʲ iː mʲ
n-inréimnímid	nʲ i nʲ ɾʲ eː mʲ nʲ iː mʲ i dʲ
n-inréimnímis	nʲ i nʲ ɾʲ eː mʲ nʲ iː mʲ i ʃ
d'inréimnímis	dʲ i nʲ ɾʲ eː mʲ nʲ iː mʲ i ʃ
n-inréimnínn	nʲ i nʲ ɾʲ eː mʲ nʲ iː n̻ʲ
d'inréimnínn	dʲ i nʲ ɾʲ eː mʲ nʲ iː n̻ʲ
n-inréimníodar	nʲ i nʲ ɾʲ eː mʲ nʲ iː d̪ˠ ə ɾˠ
d'inréimníodar	dʲ i nʲ ɾʲ eː mʲ nʲ iː d̪ˠ ə ɾˠ
n-inréimníodh	nʲ i nʲ ɾʲ eː mʲ nʲ iː uː
d'inréimníodh	dʲ i nʲ ɾʲ eː mʲ nʲ iː uː
n-inréimníomar	nʲ i nʲ ɾʲ eː mʲ nʲ iː mˠ ə ɾˠ
d'inréimníomar	dʲ i nʲ ɾʲ eː mʲ nʲ iː mˠ ə ɾˠ
n-inréimníonn	nʲ i nʲ ɾʲ eː mʲ nʲ iː n̻ˠ
n-inréimníteá	nʲ i nʲ ɾʲ eː mʲ nʲ iː tʲ aː
d'inréimníteá	dʲ i nʲ ɾʲ eː mʲ nʲ iː tʲ aː
n-inréimnítear	nʲ i nʲ ɾʲ eː mʲ nʲ iː tʲ ə ɾˠ
b'inréimnithe	bʲ i nʲ ɾʲ eː mʲ nʲ iː
n-inréimnithe	nʲ i nʲ ɾʲ eː mʲ nʲ iː
d'inréimnithe	dʲ i nʲ ɾʲ eː mʲ nʲ iː
m'inréimnithe	mʲ i nʲ ɾʲ eː mʲ nʲ iː
n-inréimnítí	nʲ i nʲ ɾʲ eː mʲ nʲ iː tʲ iː
d'inréimnítí	dʲ i nʲ ɾʲ eː mʲ nʲ iː tʲ iː
t-inréimniú	tʲ i nʲ ɾʲ eː mʲ nʲ uː
b'inréimniú	bʲ i nʲ ɾʲ eː mʲ nʲ uː
n-inréimniú	nʲ i nʲ ɾʲ eː mʲ nʲ uː
d'inréimniú	dʲ i nʲ ɾʲ eː mʲ nʲ uː
m'inréimniú	mʲ i nʲ ɾʲ eː mʲ nʲ uː
b'inréitithe	bʲ i nʲ ɾʲ eː tʲ iː
n-inréitithe	nʲ i nʲ ɾʲ eː tʲ iː
b'inroinnt	bʲ i nʲ ɾʲ ə n̻ʲ tʲ
n-inroinnt	nʲ i nʲ ɾʲ ə n̻ʲ tʲ
d'inroinnt	dʲ i nʲ ɾʲ ə n̻ʲ tʲ
m'inroinnt	mʲ i nʲ ɾʲ ə n̻ʲ tʲ
b'inroinnte	bʲ ˌ  i n̻ˠ ˈ ɾˠ o n̻ʲ  tʲ ə
n-inroinnte	nʲ ˌ  i n̻ˠ ˈ ɾˠ o n̻ʲ  tʲ ə
d'inroinnte	dʲ ˌ  i n̻ˠ ˈ ɾˠ o n̻ʲ  tʲ ə
m'inroinnte	mʲ ˌ  i n̻ˠ ˈ ɾˠ o n̻ʲ  tʲ ə
b'inroinnteacht	bʲ i nʲ ɾʲ ə n̻ʲ tʲ a ɾˠ t̪ˠ
n-inroinnteacht	nʲ i nʲ ɾʲ ə n̻ʲ tʲ a ɾˠ t̪ˠ
d'inroinnteacht	dʲ i nʲ ɾʲ ə n̻ʲ tʲ a ɾˠ t̪ˠ
m'inroinnteacht	mʲ i nʲ ɾʲ ə n̻ʲ tʲ a ɾˠ t̪ˠ
b'inroinnteachta	bʲ i nʲ ɾʲ ə n̻ʲ tʲ ə ɾˠ t̪ˠ ə
n-inroinnteachta	nʲ i nʲ ɾʲ ə n̻ʲ tʲ ə ɾˠ t̪ˠ ə
d'inroinnteachta	dʲ i nʲ ɾʲ ə n̻ʲ tʲ ə ɾˠ t̪ˠ ə
m'inroinnteachta	mʲ i nʲ ɾʲ ə n̻ʲ tʲ ə ɾˠ t̪ˠ ə
n-insamhail	nʲ i nʲ ʃ au lʲ
d'insamhail	dʲ i nʲ ʃ au lʲ
b'insamhailte	bʲ i nʲ ʃ au lʲ tʲ ə
n-insamhailte	nʲ i nʲ ʃ au lʲ tʲ ə
t-insamhladh	tʲ i nʲ ʃ au l̻ˠ uː
b'insamhladh	bʲ i nʲ ʃ au l̻ˠ uː
n-insamhladh	nʲ i nʲ ʃ au l̻ˠ uː
d'insamhladh	dʲ i nʲ ʃ au l̻ˠ uː
m'insamhladh	mʲ i nʲ ʃ au l̻ˠ uː
n-insamhlaí	nʲ i nʲ ʃ au l̻ˠ iː
n-insamhlaídís	nʲ i nʲ ʃ au l̻ˠ iː dʲ iː ʃ
d'insamhlaídís	dʲ i nʲ ʃ au l̻ˠ iː dʲ iː ʃ
n-insamhlaígí	nʲ i nʲ ʃ au l̻ˠ iː ɟ iː
n-insamhlaím	nʲ i nʲ ʃ au l̻ˠ iː mʲ
n-insamhlaímid	nʲ i nʲ ʃ au l̻ˠ iː mʲ i dʲ
n-insamhlaímis	nʲ i nʲ ʃ au l̻ˠ iː mʲ i ʃ
d'insamhlaímis	dʲ i nʲ ʃ au l̻ˠ iː mʲ i ʃ
n-insamhlaínn	nʲ i nʲ ʃ au l̻ˠ iː n̻ʲ
d'insamhlaínn	dʲ i nʲ ʃ au l̻ˠ iː n̻ʲ
n-insamhlaíodar	nʲ i nʲ ʃ au l̻ˠ ia d̪ˠ ə ɾˠ
d'insamhlaíodar	dʲ i nʲ ʃ au l̻ˠ ia d̪ˠ ə ɾˠ
n-insamhlaíodh	nʲ i nʲ ʃ au l̻ˠ iː uː
d'insamhlaíodh	dʲ i nʲ ʃ au l̻ˠ iː uː
n-insamhlaíomar	nʲ i nʲ ʃ au l̻ˠ ia mˠ ə ɾˠ
d'insamhlaíomar	dʲ i nʲ ʃ au l̻ˠ ia mˠ ə ɾˠ
n-insamhlaíonn	nʲ i nʲ ʃ au l̻ˠ ia n̻ˠ
n-insamhlaíteá	nʲ i nʲ ʃ au l̻ˠ iː tʲ aː
d'insamhlaíteá	dʲ i nʲ ʃ au l̻ˠ iː tʲ aː
n-insamhlaítear	nʲ i nʲ ʃ au l̻ˠ iː tʲ ə ɾˠ
b'insamhlaithe	bʲ i nʲ ʃ au l̻ˠ iː
n-insamhlaithe	nʲ i nʲ ʃ au l̻ˠ iː
n-insamhlaítí	nʲ i nʲ ʃ au l̻ˠ iː tʲ iː
d'insamhlaítí	dʲ i nʲ ʃ au l̻ˠ iː tʲ iː
n-insamhlódh	nʲ i nʲ ʃ au l̻ˠ o x ə tʲ
d'insamhlódh	dʲ i nʲ ʃ au l̻ˠ o x ə tʲ
n-insamhlófá	nʲ i nʲ ʃ au l̻ˠ oː h aː
d'insamhlófá	dʲ i nʲ ʃ au l̻ˠ oː h aː
n-insamhlófaí	nʲ i nʲ ʃ au l̻ˠ oː fˠ iː
d'insamhlófaí	dʲ i nʲ ʃ au l̻ˠ oː fˠ iː
n-insamhlófar	nʲ i nʲ ʃ au l̻ˠ oː fˠ ə ɾˠ
n-insamhlóidh	nʲ i nʲ ʃ au l̻ˠ o j
n-insamhlóidís	nʲ i nʲ ʃ au l̻ˠ oː dʲ iː ʃ
d'insamhlóidís	dʲ i nʲ ʃ au l̻ˠ oː dʲ iː ʃ
n-insamhlóimid	nʲ i nʲ ʃ au l̻ˠ oː mʲ i dʲ
n-insamhlóimis	nʲ i nʲ ʃ au l̻ˠ oː mʲ i ʃ
d'insamhlóimis	dʲ i nʲ ʃ au l̻ˠ oː mʲ i ʃ
n-insamhlóinn	nʲ i nʲ ʃ au l̻ˠ o n̻ʲ
d'insamhlóinn	dʲ i nʲ ʃ au l̻ˠ o n̻ʲ
b'inscní	bʲ i nʲ ʃ c nʲ iː
n-inscní	nʲ i nʲ ʃ c nʲ iː
d'inscní	dʲ i nʲ ʃ c nʲ iː
m'inscní	mʲ i nʲ ʃ c nʲ iː
b'inscortha	bʲ i nʲ ʃ c ə ɾ̥ˠ ə
